Tytuł,Opis,Cena,Metraż
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,749000,74.05
PragaPołudnie Grochowska,Warszawa,240548,24.38
Krowodrza Czarnowiejska,Kraków,427000,37.0
Grunwald,Poznań,1290000,166.0
Ochota Gotowy budynek Stan deweloperski Ostatnie mieszkanie,Warszawa,996000,105.0
Nowa Huta Czyżyny ul Woźniców,Kraków,414600,34.55
Podgórze Płaszów Koszykarska,Kraków,750000,81.4
Ursynów Wyżyny,Warszawa,615000,63.4
Bemowo,Warszawa,429000,40.0
Śródmieście,Warszawa,375000,29.0
PragaPołudnie Gocław,Warszawa,520000,67.0
Białołęka,Warszawa,400000,57.0
Nowe Miasto Malta Florentyny Luboińskiej 5,Poznań,421427,60.29
Wola,Warszawa,591772,52.27
Grunwald Świerzawska,Poznań,547000,77.39
Białołęka,Warszawa,489000,52.0
Grunwald Górczyn ul Ceglana,Poznań,618636,66.52
Krowodrza Stanisława Konarskiego,Kraków,280000,16.2
PragaPołudnie,Warszawa,393800,35.8
Ursynów ul Nowoursynowska,Warszawa,869000,67.4
Ochota Stara Ochota,Warszawa,950000,72.0
Nowe Miasto Malta ul Katowicka,Poznań,563905,77.78
Bemowo ul ks Juliana Chrościckiego,Warszawa,670000,65.1
Stare Miasto Wilczak Wilczak 16 A,Poznań,442700,58.25
Jeżyce,Poznań,496369,41.57
Prądnik Czerwony ul Śliczna,Kraków,756707,82.43
Stare Miasto,Kraków,949000,84.8
Śródmieście Mokotowska,Warszawa,2256000,94.0
Prądnik Biały Henryka Pachońskiego,Kraków,405900,41.0
Dębniki Ruczaj prof Michała Bobrzyńskiego,Kraków,699000,60.0
Grunwald Jeleniogórska 13,Poznań,456711,66.19
Śródmieście Grzybowska,Warszawa,440000,39.0
Podgórze Zabłocie,Kraków,530000,31.0
Podgórze Rzemieślnicza,Kraków,529000,53.84
Jeżyce ul św Wawrzyńca 11,Poznań,360916,39.23
PragaPółnoc Ząbkowska,Warszawa,840000,47.0
Śródmieście ul Mokotowska,Warszawa,1699000,65.55
Stare Miasto Piasek Łobzowska,Kraków,620000,43.0
Wola Kłopot,Warszawa,865000,51.59
PragaPołudnie Mlądzka,Warszawa,670000,50.0
Podgórze Duchackie Kurdwanów por Halszki,Kraków,159000,49.0
Zwierzyniec Wola Justowska Jesionowa,Kraków,899000,74.44
Stare Miasto pl Na Groblach,Kraków,595000,31.24
Stare Miasto Naramowice ul Czarnucha,Poznań,507830,75.57
Wola,Warszawa,530000,37.0
Podgórze Duchackie ul Walerego Sławka,Kraków,539000,57.81
Mokotów,Warszawa,458000,44.0
Ochota Grójecka,Warszawa,319000,23.0
Nowe Miasto Malta ul Katowicka,Poznań,430695,50.67
Grzegórzki ul Fabryczna,Kraków,971904,75.93
Wzgórza Krzesławickie ulGustawa Morcinka,Kraków,270648,37.59
Dębniki KlinyZacisze bpa Albina Małysiaka,Kraków,266500,31.59
Wola Juliana Konstantego Ordona,Warszawa,517329,45.24
Białołęka,Warszawa,430336,33.62
Nowa Huta Czyżyny,Kraków,498000,49.08
Krowodrza,Kraków,455000,45.0
Jeżyce ul św Wawrzyńca 11,Poznań,474128,62.14
Wola Mirów Jaktorowska,Warszawa,420000,26.8
PragaPołudnie Gocław,Warszawa,486540,44.94
Bronowice ul Bronowicka 5,Kraków,1038636,88.02
Grzegórzki ul Fabryczna,Kraków,533455,36.79
BieżanówProkocim Złocieniowa,Kraków,382301,52.37
Nowe Miasto Malta ul Katowicka,Poznań,417112,47.67
Prądnik Czerwony ul Celarowska,Kraków,349000,37.06
Stare Miasto Centrum ul Ostrów Tumski,Poznań,445000,39.06
Nowe Miasto Malta abpa Walentego Dymka,Poznań,461004,60.4
PragaPołudnie Saska Kępa,Warszawa,670000,38.0
Stare Miasto Starowiślna,Kraków,709000,53.4
Nowe Miasto Kobyle Pole ul abp Walentego Dymka,Poznań,468300,66.9
Grzegórzki Dąbie Dąbska,Kraków,730000,73.81
Podgórze Okólna,Kraków,439000,48.2
Wola Mirów Srebrna,Warszawa,519000,35.5
PragaPołudnie Saska Kępa Międzynarodowa,Warszawa,515000,37.5
Białołęka,Warszawa,460000,65.0
PragaPołudnie Grochowska,Warszawa,480000,43.9
Wilanów ul Adama Branickiego,Warszawa,1388000,110.8
PragaPołudnie,Warszawa,699000,55.2
Śródmieście ul Grzybowska,Warszawa,430000,28.0
Włochy,Warszawa,550000,49.0
Jeżyce,Poznań,289000,37.56
Białołęka Kąty Grodziskie,Warszawa,393000,53.0
Podgórze ul Koszykarska,Kraków,543558,53.0
PragaPołudnie Gocław ul gen Tadeusza BoraKomorowskiego,Warszawa,630000,43.89
Nowe Miasto Rataje os Piastowskie,Poznań,348900,48.4
Nowe Miasto Komandoria,Poznań,499000,60.0
Wilda Przemysłowa,Poznań,385000,59.1
BieżanówProkocim Złocień,Kraków,290829,37.77
Nowa Huta Okulickiego,Kraków,580000,62.0
Mokotów,Warszawa,916860,65.0
Białołęka,Warszawa,659000,75.3
Stare Miasto Miodowa,Kraków,985000,53.0
małopolskie,Kraków,429000,46.69
BieżanówProkocim Bieżanów,Kraków,372154,50.98
Podgórze Duchackie Wola Duchacka,Kraków,546910,60.1
Bronowice Stańczyka,Kraków,302111,29.33
Wilanów Sarmacka,Warszawa,1250000,94.83
Mistrzejowice,Kraków,502374,66.12
Ursynów,Warszawa,875000,72.0
Żoliborz Rydygiera,Warszawa,518100,31.4
Mokotów Sielce Aleksandra Gierymskiego,Warszawa,350000,33.18
Prądnik Biały Henryka Pachońskiego,Kraków,418362,46.94
Nowe Miasto Malta ul Katowicka,Poznań,326705,34.39
Ursynów Wyczółki ul Kłobucka,Warszawa,840000,66.0
Ursus,Warszawa,799990,77.75
Nowe Miasto Malta ul Katowicka,Poznań,308750,32.5
Grunwald ul Artura Grottgera,Poznań,499999,63.0
Prądnik Czerwony,Kraków,510000,52.83
Bielany,Warszawa,539000,51.0
Białołęka ul Mikołaja Trąby,Warszawa,401000,48.0
ŁagiewnikiBorek Fałęcki Zakopiańska,Kraków,619000,88.3
Dębniki Ruczaj Chmieleniec,Kraków,529900,54.0
PragaPołudnie Gocław,Warszawa,565000,65.0
Jeżyce Podolany,Poznań,289000,29.17
Wola,Warszawa,1930000,120.0
Prądnik Biały Józefa Chełmońskiego,Kraków,440000,48.4
BieżanówProkocim,Kraków,498312,61.52
Wola Czyste,Warszawa,1169000,69.28
Prądnik Czerwony Reduta,Kraków,680000,61.01
Mistrzejowice ul Piasta Kołodzieja,Kraków,756284,87.94
Ursynów ul Kłobucka,Warszawa,495000,42.9
Stare Miasto,Kraków,399000,24.5
Targówek,Warszawa,315000,30.5
Nowa Huta Czyżyny Nowohucka 46,Kraków,305370,26.1
Podgórze Duchackie Wola Duchacka Henryka Kamieńskiego,Kraków,369000,38.86
Wilda,Poznań,435000,38.0
PragaPółnoc Ząbkowska,Warszawa,1150000,79.0
Ursus Królów Polskich,Warszawa,569000,63.3
Targówek Turmoncka,Warszawa,450000,47.5
Krowodrza Stara Krowodrza,Kraków,785000,49.41
Grunwald ul Budziszyńska,Poznań,503690,60.25
Stare Miasto Piątkowo,Poznań,479000,67.3
Mokotów ul Wyględowska,Warszawa,1228000,78.6
Nowe Miasto Malta ul Katowicka,Poznań,470160,58.77
Podgórze Duchackie Walerego Sławka,Kraków,419000,44.26
Mokotów Aleja Lotników,Warszawa,545000,43.0
Stare Miasto Naramowice,Poznań,199000,25.0
Podgórze Płaszów,Kraków,523000,65.38
BieżanówProkocim Republiki Korczakowskiej,Kraków,619000,62.5
Podgórze Duchackie Wola Duchacka Adama Bochenka,Kraków,319000,35.41
Prądnik Biały Górka Narodowa abp Zygmunta Szczęsnego Felińskiego,Kraków,519000,55.67
Mokotów Sadyba Jana III Sobieskiego,Warszawa,955241,82.0
Białołęka Nowodwory,Warszawa,380000,38.7
Prądnik Biały Stefana Banacha,Kraków,528381,57.9
małopolskie,Kraków,532350,68.25
Jeżyce ul św Wawrzyńca 11,Poznań,905951,93.59
Śródmieście,Warszawa,1650000,160.0
Krowodrza Kazimierza Wielkiego,Kraków,630015,48.5
Bielany ul Josepha Conrada,Warszawa,659000,68.7
Nowa Huta Czyżyny ul Sołtysowska,Kraków,535200,55.75
Nowa Huta Czyżyny,Kraków,295000,27.0
Mokotów ul Białego Dębu 1,Warszawa,1469300,91.63
Dębniki Ruczaj dr Jana Piltza,Kraków,352644,35.27
Jeżyce ul św Wawrzyńca 11,Poznań,551561,68.01
PragaPółnoc,Warszawa,380000,30.0
Podgórze Walerego Sławka,Kraków,749000,88.73
Włochy Stare Włochy Czereśniowa,Warszawa,920000,81.0
Stare Miasto Centrum,Poznań,390000,40.0
Podgórze ul dr Jana Piltza,Kraków,660000,67.21
Mokotów MARINA ul Rajska,Warszawa,1404000,108.36
Stare Miasto Naramowice ul Czarnucha,Poznań,442105,64.92
Dębniki Ruczaj,Kraków,994220,139.0
Grzegórzki ul Fabryczna,Kraków,518665,35.77
Ursynów Kłobucka,Warszawa,810000,69.78
Targówek,Warszawa,480000,50.7
Nowa Huta Czyżyny os Złotej Jesieni,Kraków,335000,38.0
Wola Odolany,Warszawa,959373,74.37
Targówek Bródno Piotra Wysockiego,Warszawa,315000,30.5
PragaPołudnie ul Łukowska 31,Warszawa,649000,71.5
Wola ul Marcina Kasprzaka,Warszawa,360000,31.0
Wawer Falenica,Warszawa,629000,127.16
Ochota,Warszawa,328500,24.0
Grunwald Łazarz Marcina Kasprzaka,Poznań,534900,60.99
Mistrzejowice ul Piasta Kołodzieja,Kraków,409530,48.18
Prądnik Biały Dobrego Pasterza,Kraków,610000,45.0
Ochota ul Mątwicka,Warszawa,1250000,94.4
Nowa Huta Czyżyny Nowohucka 46,Kraków,468966,49.89
Prądnik Czerwony Marka Eminowicza,Kraków,1045000,200.0
Wzgórza Krzesławickie ulGustawa Morcinka,Kraków,436779,69.33
Bielany Młociny Lekka,Warszawa,745000,48.94
Nowe Miasto Zawady Studzienna,Poznań,489207,64.15
BieżanówProkocim Bieżanów Opalowa,Kraków,275855,44.5
Grzegórzki ul Fabryczna,Kraków,1026066,83.42
Wola ul Józefa Bema,Warszawa,849000,84.0
Grunwald Górczyn Jakuba Krauthofera,Poznań,265900,35.51
Mokotów ul Jana III Sobieskiego,Warszawa,393000,31.0
Bielany ul Rudzka 5,Warszawa,676300,52.89
Bronowice ul Bronowicka,Kraków,596646,46.98
Wola,Warszawa,898261,91.8
Prądnik Biały Azory ul Piotra Stachiewicza,Kraków,315000,37.0
Jeżyce Winiary ul św Leonarda,Poznań,390522,42.68
ŁagiewnikiBorek Fałęcki Borek Fałęcki Żywiecka,Kraków,399000,45.5
Stare Miasto Centrum,Poznań,1108000,187.8
Prądnik Czerwony ul Zenona Klemensiewicza,Kraków,210000,13.3
PragaPołudnie,Warszawa,720000,69.0
Wilanów Sarmacka,Warszawa,1150000,93.2
Śródmieście ul Grzybowska,Warszawa,1299000,71.6
Żoliborz,Warszawa,1150000,70.85
Podgórze Pana Tadeusza,Kraków,466000,48.8
Dębniki Ruczaj,Kraków,397992,43.26
Jeżyce Stanisława Szczepanowskiego,Poznań,538803,71.26
Prądnik Biały Szymona Zimorowicza,Kraków,465000,49.02
BieżanówProkocim Górników,Kraków,460000,46.3
Nowa Huta Osiedle Urocze,Kraków,350000,36.9
Stare Miasto Winogrady,Poznań,455000,65.0
Grzegórzki Olsza,Kraków,330000,36.0
Wilanów Miasteczo Wilanów ul Sarmacka,Warszawa,1550000,119.48
Wola,Warszawa,1199000,70.0
BieżanówProkocim ul Mariana Domagały,Kraków,547470,71.1
Podgórze Stare Podgórze ul Nadwiślańska,Kraków,2300000,86.6
Bielany al Aleja Władysława Reymonta,Warszawa,599000,56.0
BieżanówProkocim Złocień Złocieniowa,Kraków,611000,64.0
Śródmieście Śródmieście Południowe ul Wilcza,Warszawa,1159000,62.0
Nowa Huta Czyżyny Sołtysowska,Kraków,495000,63.28
Dębniki gen Antoniego Józefa Madalińskiego,Kraków,1574937,63.0
Grunwald Górczyn ul Romana Dmowskiego,Poznań,418900,59.79
BieżanówProkocim Bieżanów Agatowa,Kraków,374344,51.0
Wola Kolska 9,Warszawa,538000,33.33
Dębniki ul Sandomierska,Kraków,944760,78.73
Targówek Trocka,Warszawa,330000,36.0
Stare Miasto Kazimierz,Kraków,1000000,78.7
Mokotów Bokserska,Warszawa,870000,90.0
Wawer ul Leśniczówka,Warszawa,729000,69.51
Centrum,Warszawa,769000,46.1
Dębniki Stare Dębniki ul Praska,Kraków,479000,51.5
Ursus ul Posag 7 Panien,Warszawa,409000,49.5
Targówek,Warszawa,580000,60.0
Nowa Huta Osiedle Spółdzielcze,Kraków,265000,32.6
Podgórze Płaszów Lipska,Kraków,448810,48.52
Prądnik Czerwony MłyńskaBoczna,Kraków,350000,37.0
Mokotów ul Domaniewska 34B,Warszawa,721600,47.62
Śródmieście Powiśle al 3 Maja,Warszawa,744000,59.59
Zwierzyniec Salwator Kasztelańska,Kraków,451375,28.75
Mokotów,Warszawa,620000,38.6
Nowa Huta Czyżyny,Kraków,388080,39.6
Śródmieście Śródmieście Południowe,Warszawa,2400000,144.0
Dębniki KlinyZacisze Spacerowa,Kraków,433862,58.63
Śródmieście ul Franciszkańska,Warszawa,1230000,59.0
Bielany,Warszawa,518700,39.9
Podgórze Fredry,Kraków,410000,34.6
PragaPołudnie,Warszawa,590016,52.68
Dębniki Ruczaj,Kraków,850000,102.0
Ochota ul Mołdawska,Warszawa,680000,36.84
Prądnik Biały Górka Narodowa Stefana Banacha,Kraków,462181,59.82
Prądnik Czerwony Młyńska Boczna,Kraków,362100,37.0
Żoliborz ul Kaliny Jędrusik,Warszawa,915000,61.19
Wola Ożarowska,Warszawa,429000,31.0
Mokotów,Warszawa,585000,42.94
BieżanówProkocim Erazma Jerzmanowskiego,Kraków,590000,56.42
Mokotów,Warszawa,500000,56.3
Śródmieście,Warszawa,899000,87.0
Mokotów,Warszawa,575000,44.61
Wola,Warszawa,619000,54.0
Podgórze ul Stanisława Klimeckiego,Kraków,569000,54.36
Mokotów Parkowa,Warszawa,3800000,136.0
Dębniki Ruczaj dr Jana Piltza,Kraków,569000,50.7
Nowa Huta Czyżyny ul Woźniców,Kraków,706800,74.4
BieżanówProkocim Wielicka 179,Kraków,400411,44.99
Ochota,Warszawa,1210000,80.8
Śródmieście ul Tytusa Chałubińskiego,Warszawa,769000,46.1
Białołęka,Warszawa,632899,72.29
Prądnik Biały Henryka Pachońskiego,Kraków,478000,50.9
Grzegórzki Grzegórzecka,Kraków,419106,30.37
Ursynów Kłobucka,Warszawa,775000,67.4
Wola Juliana Konstantego Ordona,Warszawa,486831,42.96
Żoliborz,Warszawa,580000,39.5
Ursynów Nowoursynowska,Warszawa,997000,79.0
Podgórze Duchackie ul Walerego Sławka,Kraków,539000,57.1
Ursynów,Warszawa,510000,44.0
Stare Miasto Naramowice ul Karpia,Poznań,477654,66.35
Podgórze Duchackie ul Walerego Sławka,Kraków,449000,47.09
Grunwald Górczyn,Poznań,365000,46.91
Mistrzejowice,Kraków,380000,36.0
Targówek,Warszawa,430000,49.3
Nowe Miasto Polanka 2,Poznań,365256,41.04
Podgórze Płaszów,Kraków,760000,79.6
Prądnik Czerwony ul Promienistych,Kraków,629942,70.78
Wola Pańska,Warszawa,483000,37.2
PragaPołudnie Saska Kępa,Warszawa,899000,82.0
Podgórze Kazimierza Siemienowicza,Kraków,428832,44.67
Podgórze Zabłocie,Kraków,649000,61.11
wielkopolskie,Poznań,406458,53.67
Krowodrza ul Obopólna,Kraków,585000,53.95
Bemowo,Warszawa,549000,63.67
Stare Miasto Naramowice ul Karpia 27,Poznań,471304,72.62
Mokotów Sadyba Nałęczowska,Warszawa,685420,65.93
Wilda Dębiec,Poznań,299000,48.0
BieżanówProkocim Bieżanów Henryka i Karola Czeczów,Kraków,333660,63.0
Stare Miasto Naramowice,Poznań,289636,38.11
Prądnik Czerwony Dobrego Pasterza,Kraków,649000,55.21
Mistrzejowice ul Piasta Kołodzieja,Kraków,497420,65.45
Prądnik Biały Stefana Banacha,Kraków,968688,104.16
Śródmieście Stare Miasto,Warszawa,1700000,127.0
BieżanówProkocim Wielicka 179,Kraków,435744,48.96
Zwierzyniec Jesionowa,Kraków,1254555,92.93
Grunwald Górczyn Jakuba Krauthofera,Poznań,449400,61.52
Dębniki Skotniki ul Aleksandra Zelwerowicza,Kraków,630000,75.0
Białołęka ul Leona Berensona,Warszawa,319000,41.0
Prądnik Biały,Kraków,442000,48.5
Bielany Chomiczówka Brązownicza,Warszawa,529000,47.0
PragaPółnoc Aleja Tysiąclecia,Warszawa,375000,47.0
Grzegórzki Dąbie,Kraków,495000,50.0
Grunwald,Poznań,510840,59.4
Wzgórza Krzesławickie ulGustawa Morcinka,Kraków,197028,25.26
Podgórze Bagrowa,Kraków,1150000,86.0
Prądnik Czerwony Rakowice Włodkowica,Kraków,480000,49.1
Stare Miasto,Kraków,777000,60.74
Śródmieście,Warszawa,1384029,121.47
PragaPołudnie Grochów Fundamentowa,Warszawa,768000,63.1
Wilanów,Warszawa,1022750,82.0
Ursynów Kłobucka Central Park,Warszawa,850000,71.0
Mokotów ul Bluszczańska,Warszawa,798098,73.22
Podgórze Duchackie Wola Duchacka,Kraków,445994,43.91
Bemowo,Warszawa,600000,59.0
Grunwald,Poznań,507934,71.54
Grunwald ul Bułgarska 59,Poznań,535265,73.1
Dębniki Ruczaj Obozowa,Kraków,510000,59.8
Bronowice,Kraków,568000,71.92
Ochota,Warszawa,418000,32.0
Wilda Dolna Wilda ul Stefana Czarnieckiego,Poznań,422280,46.0
