gratka_mieszkania
Tytuł;Opis;Cena;Metraż
Trakt Napoleoński;Sceduję prawa z Umowy przedwstępnej zakupu mieszkania w inwestycji Tarasy Rokietnicy. Mieszkanie znajduje się w budynku A na trzecim piętrze (jest winda). Umowa obejmuje zakup mieszkania o pow. 44,21m2, komórki lokatorskiej o pow. 6,7m2 i naziemnego miejsca postojowego. Łączna cena za mieszkanie,...;400000.0;44
ul. Jackowskiego;Najważniejsze atuty ✅ Kolejny etap cieszącej się uznaniem inwestycji ✅ Ściany wewnętrzne i zewnętrzne w strefie wejściowej inwestycji będą zdobione mozaikami przypominającymi o mieszczących się tu dawniej zakładach odzieżowych Modena ✅ Rewitalizacja drugiej części zabytkowej alei ponad...;516464.0;40
ul. Miśnieńska 37;Najważniejsze atuty ✅ Unikalny, wieloetapowy projekt mieszkaniowy spełniający różnorodne oczekiwania ✅ Specjalne strefy zieleni, miejsca relaksu, obszerne place zabaw dla dzieci i punkty handlowo-usługowe ✅ Na osiedlu planowane jest również powstanie przedszkola i supermarketu ✅ Ogródki...;526000.0;49
Sielawy;Najważniejsze atuty ✅ Technologia Smart Home Management ✅ Przestronne balkony lub tarasy z ogródkami ✅ Energooszczędne oświetlenie LED-owe części wspólnych ✅ Stacje ładowania samochodów elektrycznych Murapol Zielony Żurawiniec w skrócie Nowoczesna inwestycja powstająca w poznańskiej dzielnicy...;703373.0;43
Sielawy;Najważniejsze atuty ✅ Technologia Smart Home Management ✅ Przestronne balkony lub tarasy z ogródkami ✅ Energooszczędne oświetlenie LED-owe części wspólnych ✅ Stacje ładowania samochodów elektrycznych Murapol Zielony Żurawiniec w skrócie Nowoczesna inwestycja powstająca w poznańskiej dzielnicy...;470000.0;90
ul. Starołęcka 34/36;Najważniejsze atuty ✅ Lokalizacja bezpośrednio przy rzece i terenach rekreacyjnych ✅ Nowoczesny design, estetyczna elewacja i przemyślane części wspólne ✅ Różnorodność metraży i funkcjonalne przestrzenie łatwe w aranżacji ✅ Pełna infrastruktura w pobliżu inwestycji Widok Warta w skrócie...;405000.0;42
ul. Starołęcka 34/36;Najważniejsze atuty ✅ Lokalizacja bezpośrednio przy rzece i terenach rekreacyjnych ✅ Nowoczesny design, estetyczna elewacja i przemyślane części wspólne ✅ Różnorodność metraży i funkcjonalne przestrzenie łatwe w aranżacji ✅ Pełna infrastruktura w pobliżu inwestycji Widok Warta w skrócie...;275000.0;58
Winogrady;"MIESZKANIE 3-POKOJOWE 47,6m2 BEZPOŚREDNIO (brak prowizji) OD ZARAZMIESZKANIE 3-POKOJOWE 47,6m2 BEZPOŚREDNIO (brak prowizji) OD ZARAZ (os.Przyjaźni PST Winogrady Poznań) CENA 470,000zł wraz z całym wyposażeniem z oddzielną kuchnią, korytarzem oraz łazienką o łącznej powierzchni 47,6 m2, w tym: Największy pokój – ok.2,9m x 5,3m (ok.15m2) z wyjściem na balkon;...";799000.0;47
Powstańcza;2 POKOJE WILDA/POWSTAŃCZA 1NOWA ATRAKCYJNA CENA - TYLKO 8823zł/mkw.  Polecamy na sprzedaż mieszkanie [spółdzielcze własnościowe prawo do lokalu] z bardzo dużym potencjałem adaptacyjnym, zlokalizowane w zadbanej kamienicy na poznańskiej Wildzie - przy ul. Powstańczej 1. Mieszkanie na drugim piętrze [z 3] o powierzchni...;555000.0;45
Widok;Sprzedam dwa Pokoje Os. WidokSprzedam dwupokojowe mieszkanie o pow 46,5m2 usytuowane na IV piętrze niskiego bloku mieszkalnego w Kaliszu na Os Widok. Mieszkanie z balkonem składa się z dwóch osobnych pokoi, kuchni ,małej łazienki połączonej z wc oraz korytarza. Okna plastikowe, przynależna piwnica, jednostronna ekspozycja...;335760.0;46
Maksymiliana Jackowskiego;Mieszkanie z dostępem do ogrodu, JeżyceMieszkanie w zadbanym, niskim budynku z 1950 roku usytuowanym w jednej z najmodniejszych dzielnic Poznania. W pobliżu pełna infrastruktura, dobra komunikacja, Uniwersytet Medyczny, Stare ZOO, Ogród Botaniczny i tereny rekreacyjne. Lokal mieszkalny składa się z trzech niezależnych pokoi (18,80 m2,...;379837.0;74
Stefana Batorego;Morasko! Przy PST! Piękne M2 po gen. remoncie10 minut spacerem do przystanku PST , 2 minuty do Żurawińca , oaza ciszy i spokoju . Mieszkanie mieści się na os. Stefana Batorego na 4 piętrze czteropiętrowego bloku- brak sąsiadów nad głową, niewielki ruch na klatce schodowej, co daje dodatkowo k omfort ciszy, prywatności a zarazem piękny widok...;649000.0;49
